,Definitions,Term,TermLemm,KwMult
209, начало формирования и развития нового организма после соединения созревшей яйцеклетки со сперматозоидом.,Зачатие ,['зачат'],"{'яйцеклетк': 0.01047681508089071, 'сперматозоид': 0.006447270819009667, 'нов': 0.027938173549041892, 'организм': 0.0005018833571684172, 'соединен': 0.00364410959335329, 'развит': 0.0016118177047524168, 'посл': 0.0026192037702226774, 'нача': 0.027938173549041892, 'формирован': 0.013969086774520946, 'созревш': 0.08381452064712568}"
210, усиленная реакция бронхов у больных бронхиальной астмой.,Гиперреактивность бронхов ,"['гиперреактивн', 'бронх']","{'бронх': 0.005587634709808378, 'бронхиальн': 0.013969086774520946, 'больн': 0.005238407540445355, 'реакц': 0.0022652573147871804, 'усилен': 0.01047681508089071, 'астм': 0.02095363016178142}"
211,"пинеальная железа, шишковидная железа, эпифиз) — железа внутренней секреции нейроглиального происхождения.",Шишковидное тело ,"['шишковидн', 'тел']","{'внутрен': 0.0013096018851113387, 'желез': 0.0021490902730032227, 'происхожден': 0.005986751474794691, 'секрец': 0.0038097509385057126, 'шишковидн': 0.04190726032356284, 'пинеальн': 0.08381452064712568, 'эпифиз': 0.027938173549041892, 'нейроглиальн': 0.08381452064712568}"
212," поражение кожи, так называемая ""лихорадка"", чаще на губах.",Герпес ,['герпес'],"{'кож': 0.0011973502949589382, 'называ': 0.007619501877011425, 'губ': 0.02095363016178142, 'поражен': 0.002890155884383644, 'чащ': 0.004930265920419157, 'лихорадк': 0.005587634709808378}"
213," лекарственные средства, оказывающие стимулирующее воздействие на симпатическую часть нервной системы.",Симпатомиметики ,['симпатомиметик'],"{'част': 0.0013303892166210425, 'лекарствен': 0.0029933757373973454, 'систем': 0.000901231404807803, 'стимулир': 0.007619501877011425, 'нервн': 0.0006926819888192204, 'воздейств': 0.0038097509385057126, 'средств': 0.0021490902730032227, 'оказыва': 0.01047681508089071, 'симпатическ': 0.011973502949589382}"
214," расширение легких с уменьшением их подвижности, нарушением функций дыхания и кровообращения. Причины: хронический бронхит, бронхиальная астма и др. Проявления; одышка, цианоз, кашель и др.",Эмфизема легких ,"['эмфизем', 'легк']","{'подвижн': 0.009312724516347298, 'др': 0.0012994499325135764, 'причин': 0.002890155884383644, 'расширен': 0.007619501877011425, 'легк': 0.003104241505449099, 'хроническ': 0.0034922716936302365, 'нарушен': 0.0012894541638019334, 'уменьшен': 0.01047681508089071, 'бронх': 0.005587634709808378, 'бронхиальн': 0.013969086774520946, 'функц': 0.0016434219734730525, 'проявлен': 0.0032236354095048336, 'дыхан': 0.005238407540445355, 'одышк': 0.02095363016178142, 'кровообращен': 0.005986751474794691, 'астм': 0.02095363016178142, 'цианоз': 0.027938173549041892, 'кашел': 0.08381452064712568}"
215, международное название препарата для профилактики обострения аллергии.,Кетотифен ,['кетотиф'],"{'препарат': 0.0026192037702226774, 'профилактик': 0.006984543387260473, 'назван': 0.009312724516347298, 'аллерг': 0.006447270819009667, 'обострен': 0.02095363016178142, 'международн': 0.04190726032356284}"
216," окрашивание тканей и их производных (волос, кожи), обусловленное красящими веществами - пигментами.",Пигментация ,['пигментац'],"{'кож': 0.0011973502949589382, 'ткан': 0.0005986751474794691, 'веществ': 0.0006705161651770054, 'волос': 0.008381452064712568, 'обусловлен': 0.002890155884383644, 'пигмент': 0.007619501877011425, 'производн': 0.013969086774520946, 'окрашиван': 0.04190726032356284, 'крася': 0.04190726032356284}"
217," мужская половая железа, в которой образуются половые клетки - сперматозоиды и половые гормоны. У человека обычно называются яичками.",Семенник  ,['семенник'],"{'котор': 0.0008640672231662441, 'клетк': 0.0010221283005747033, 'называ': 0.007619501877011425, 'образ': 0.0010221283005747033, 'сперматозоид': 0.006447270819009667, 'желез': 0.0007163634243344075, 'человек': 0.0011175269419616757, 'мужск': 0.005986751474794691, 'полов': 0.0044112905603750354, 'гормон': 0.0013096018851113387, 'обычн': 0.0034922716936302365, 'яичк': 0.016762904129425136}"
218," высшая степень восторга, воодушевления, иногда на грани исступления.",Экстаз ,['экстаз'],"{'степен': 0.02095363016178142, 'иногд': 0.009312724516347298, 'высш': 0.08381452064712568, 'восторг': 0.08381452064712568, 'воодушевлен': 0.08381452064712568, 'гран': 0.08381452064712568, 'исступлен': 0.08381452064712568}"
219," жидкий секрет, продуцируемый особыми железами.",Слизь ,['слиз'],"{'жидк': 0.008381452064712568, 'желез': 0.0007163634243344075, 'секрет': 0.011973502949589382, 'особ': 0.006447270819009667, 'продуцируем': 0.08381452064712568}"
220, снижение содержания в крови нейтрофилов.,Нейтропения ,['нейтропен'],"{'кров': 0.0005304716496653524, 'снижен': 0.006447270819009667, 'содержан': 0.006447270819009667, 'нейтрофил': 0.016762904129425136}"
221," внутреннее гидростатическое давление в живой клетке, вызывающее напряжение клеточной оболочки. Снижением тургора сопровождаются процессы распада, увядания и старения клеток.",Тургор ,['тургор'],"{'клетк': 0.0010221283005747033, 'внутрен': 0.0013096018851113387, 'оболочк': 0.0013518471072117043, 'вызыва': 0.0017105004213699118, 'жив': 0.003352580825885027, 'гидростатическ': 0.027938173549041892, 'давлен': 0.003991167649863127, 'процесс': 0.0016118177047524168, 'клеток': 0.0015521207527245495, 'сопровожда': 0.006447270819009667, 'напряжен': 0.009312724516347298, 'снижен': 0.006447270819009667, 'распад': 0.01047681508089071, 'клеточн': 0.011973502949589382, 'тургор': 0.04190726032356284, 'увядан': 0.08381452064712568, 'старен': 0.08381452064712568}"
222," воспаление слизистой оболочки тела матки. Вызывается стафилококком, стрептококком или гонококком, кишечной палочкой и некоторыми другими микробами.",Эндометрит ,['эндометр'],"{'оболочк': 0.0013518471072117043, 'слизист': 0.0020442566011494067, 'воспален': 0.0013740085351987815, 'друг': 0.0015239003754022851, 'ил': 0.0003934954020991816, 'вызыва': 0.0017105004213699118, 'некотор': 0.0016762904129425135, 'тел': 0.0012699169795019041, 'кишечн': 0.005587634709808378, 'палочк': 0.04190726032356284, 'микроб': 0.005986751474794691, 'матк': 0.004656362258173649, 'стафилококк': 0.02095363016178142, 'стрептококк': 0.016762904129425136, 'гонококк': 0.08381452064712568}"
223," наружная оболочка глаза, плотная, выполняющая опорную и защитную функции. К склере прикрепляются сухожилия глазодвигательных мышц.",Склера ,['склер'],"{'сухожил': 0.01047681508089071, 'мышц': 0.0017105004213699118, 'оболочк': 0.0013518471072117043, 'плотн': 0.008381452064712568, 'выполня': 0.005587634709808378, 'функц': 0.0016434219734730525, 'прикрепля': 0.02095363016178142, 'глаз': 0.0027036942144234087, 'наружн': 0.006984543387260473, 'опорн': 0.009312724516347298, 'склер': 0.02095363016178142, 'защитн': 0.005587634709808378, 'глазодвигательн': 0.04190726032356284}"
224, разрастание какой-либо ткани.,Вегетация ,['вегетац'],"{'ткан': 0.0005986751474794691, 'либ': 0.002890155884383644, 'разрастан': 0.011973502949589382}"
225," самая крупная железа. Участвует в процессах пищеварения, обмена веществ, кровообращения, обеспечивает постоянство внутренней среды организма. Клетки печени синтезируют желчь. В печени происходит синтез и расщепление белков, жиров, углеводов (регулирует уровень сахара в крови), витаминов (образуется и накапливается витамин А) и др. веществ. Из ""обменного фонда"" печени организм получает многие необходимые вещества; в ней освобождается 1/7 часть всей его энергии. Печень - депо крови: сосуды печени человека могут задерживать около 20% ее; через печень протекает в 1 мин около 1,5 л крови.",Печень  ,['печен'],"{'част': 0.0013303892166210425, 'кров': 0.001591414948996057, 'др': 0.0006497249662567882, 'клетк': 0.0010221283005747033, 'сосуд': 0.0017461358468151182, 'е': 0.0015814060499457674, 'внутрен': 0.0013096018851113387, 'ег': 0.0018625449032694595, 'образ': 0.0010221283005747033, 'получа': 0.01047681508089071, 'организм': 0.0010037667143368344, 'белк': 0.0019048754692528563, 'желез': 0.0007163634243344075, 'человек': 0.0011175269419616757, 'крупн': 0.009312724516347298, 'обеспечива': 0.003991167649863127, 'обм': 0.0017105004213699118, 'веществ': 0.0020115484955310165, 'мног': 0.004930265920419157, 'уровен': 0.013969086774520946, 'необходим': 0.007619501877011425, 'процесс': 0.0016118177047524168, 'участв': 0.002890155884383644, 'могут': 0.013969086774520946, 'пищеварен': 0.006984543387260473, 'синтез': 0.006984543387260473, 'витамин': 0.009860531840838314, 'обмен': 0.011973502949589382, 'сред': 0.003352580825885027, 'окол': 0.03352580825885027, 'происход': 0.005986751474794691, 'регулир': 0.003991167649863127, 'постоянств': 0.016762904129425136, '7': 0.027938173549041892, 'кровообращен': 0.005986751474794691, 'печен': 0.01622216528654045, 'синтезир': 0.02095363016178142, 'протека': 0.016762904129425136, 'желч': 0.007619501877011425, '1': 0.007395398880628736, '5': 0.005587634709808378, 'расщеплен': 0.016762904129425136, 'жир': 0.005986751474794691, 'углевод': 0.006984543387260473, 'сахар': 0.011973502949589382, 'накаплива': 0.027938173549041892, 'фонд': 0.08381452064712568, 'освобожда': 0.04190726032356284, 'энерг': 0.01047681508089071, 'деп': 0.013969086774520946, 'задержива': 0.027938173549041892, '20': 0.04190726032356284, 'мин': 0.04190726032356284, 'л': 0.013969086774520946}"
226," овальные органы, расположенные по ходу лимфатических сосудов. Вырабатывают антитела и лимфоциты, задерживают и обезвреживают бактерии, токсины (биологический фильтр лимфы).",Лимфатические узлы ,"['лимфатическ', 'узл']","{'сосуд': 0.0017461358468151182, 'вырабатыва': 0.0019955838249315636, 'токсин': 0.006447270819009667, 'бактер': 0.002890155884383644, 'орга': 0.0013740085351987815, 'ход': 0.02095363016178142, 'лимфоцит': 0.011973502949589382, 'антител': 0.004190726032356284, 'лимфатическ': 0.0029933757373973454, 'лимф': 0.005238407540445355, 'биологическ': 0.006984543387260473, 'расположен': 0.005587634709808378, 'обезврежива': 0.02095363016178142, 'задержива': 0.027938173549041892, 'овальн': 0.08381452064712568, 'фильтр': 0.04190726032356284}"
227," перегревание организма. У человека при температуре тела свыше 41-42оС может наступить тепловой удар. Искусственно гипертермию вызывают наружным воздействием горячего воздуха, воды, песка и других сред, применяемых при лечении некоторых заболеваний.",Гипертермия ,['гипертерм'],"{'заболеван': 0.00044820599276537796, 'организм': 0.0005018833571684172, 'человек': 0.0011175269419616757, 'лечен': 0.0022056452801875177, 'друг': 0.0015239003754022851, 'вызыва': 0.0017105004213699118, 'применя': 0.0027036942144234087, 'некотор': 0.0016762904129425135, 'температур': 0.0029933757373973454, 'воздух': 0.005986751474794691, 'вод': 0.004930265920419157, 'тел': 0.0012699169795019041, 'воздейств': 0.0038097509385057126, 'наружн': 0.006984543387260473, 'сред': 0.003352580825885027, 'искусствен': 0.006447270819009667, 'может': 0.0038097509385057126, 'наступ': 0.04190726032356284, 'гипертерм': 0.04190726032356284, 'перегреван': 0.08381452064712568, 'свыш': 0.027938173549041892, '41': 0.04190726032356284, '42ос': 0.04190726032356284, 'теплов': 0.04190726032356284, 'удар': 0.027938173549041892, 'горяч': 0.08381452064712568, 'песк': 0.08381452064712568}"
228," мельчайшие неклеточные частицы, состоящие из нуклеиновой кислоты (ДНК и РНК) и белковой оболочки. Являются внутриклеточными паразитами. Размножаясь только в живых клетках, они используют их ферментативный аппарат и переключают клетку на синтез своих зрелых вирусных частиц - вирионов. Распространены повсеместно: вызывают болезни растений, животных и человека.",Вирусы ,['вирус'],"{'клетк': 0.0020442566011494067, 'оболочк': 0.0013518471072117043, 'человек': 0.0011175269419616757, 'болезн': 0.0009210386884299525, 'белков': 0.006984543387260473, 'животн': 0.0029933757373973454, 'вызыва': 0.0017105004213699118, 'растен': 0.008381452064712568, 'жив': 0.003352580825885027, 'паразит': 0.01047681508089071, 'распростран': 0.027938173549041892, 'явля': 0.0044112905603750354, 'использ': 0.004190726032356284, 'мельчайш': 0.016762904129425136, 'состоя': 0.005238407540445355, 'кислот': 0.0023281811290868245, 'зрел': 0.02095363016178142, 'синтез': 0.006984543387260473, 'внутриклеточн': 0.016762904129425136, 'аппарат': 0.007619501877011425, 'сво': 0.01047681508089071, 'тольк': 0.009312724516347298, 'днк': 0.013969086774520946, 'нуклеинов': 0.016762904129425136, 'вирусн': 0.011973502949589382, 'неклеточн': 0.08381452064712568, 'частиц': 0.018625449032694596, 'рнк': 0.016762904129425136, 'размнож': 0.08381452064712568, 'ферментативн': 0.08381452064712568, 'переключа': 0.08381452064712568, 'вирион': 0.08381452064712568, 'повсеместн': 0.08381452064712568}"
229," часть головного мозга, состоящая из моста и мозжечка.",Задний мозг ,"['задн', 'мозг']","{'част': 0.0013303892166210425, 'состоя': 0.005238407540445355, 'мозг': 0.0012699169795019041, 'головн': 0.0032236354095048336, 'мост': 0.08381452064712568, 'мозжечк': 0.08381452064712568}"
230,"триппер) - венерическое заболевание. Передается, в основном, половым путем.",Гонорея ,['гоноре'],"{'заболеван': 0.00044820599276537796, 'полов': 0.0014704301867916785, 'основн': 0.002095363016178142, 'пут': 0.0023947005899178763, 'переда': 0.006447270819009667, 'триппер': 0.08381452064712568, 'венерическ': 0.02095363016178142}"
231," местное уплотнение и увеличение объема тканей вследствие скопления в них крови (при воспалении), опухолевых клеток (опухолевый инфильтрат) и др.",Инфильтрат  ,['инфильтрат'],"{'кров': 0.0005304716496653524, 'др': 0.0006497249662567882, 'ткан': 0.0005986751474794691, 'воспален': 0.0013740085351987815, 'них': 0.009312724516347298, 'клеток': 0.0015521207527245495, 'опухолев': 0.027938173549041892, 'уплотнен': 0.027938173549041892, 'скоплен': 0.008381452064712568, 'увеличен': 0.0034922716936302365, 'объем': 0.013969086774520946, 'вследств': 0.0038097509385057126, 'инфильтрат': 0.027938173549041892, 'местн': 0.02095363016178142}"
232, соединительнотканная прозрачная оболочка глаза; покрывает заднюю поверхность век и переднюю часть глаза до роговицы.,Конъюнктива  ,['конъюнктив'],"{'част': 0.0013303892166210425, 'передн': 0.008381452064712568, 'оболочк': 0.0013518471072117043, 'глаз': 0.005407388428846817, 'задн': 0.007619501877011425, 'прозрачн': 0.011973502949589382, 'поверхн': 0.0032236354095048336, 'роговиц': 0.013969086774520946, 'соединительнотка': 0.011973502949589382, 'покрыва': 0.016762904129425136, 'век': 0.02095363016178142}"
233," одна из основных групп ткани, из которой образованы кости, хрящи, жировая ткань, кровь, лимфа, связки, сухожилия, и др.",Соединительная ткань ,"['соединительн', 'ткан']","{'кров': 0.0005304716496653524, 'котор': 0.0008640672231662441, 'сухожил': 0.01047681508089071, 'др': 0.0006497249662567882, 'ткан': 0.0011973502949589382, 'групп': 0.002890155884383644, 'основн': 0.002095363016178142, 'хрящ': 0.011973502949589382, 'кост': 0.0032236354095048336, 'лимф': 0.005238407540445355, 'жиров': 0.01047681508089071, 'одн': 0.005986751474794691, 'образова': 0.013969086774520946, 'связк': 0.01047681508089071}"
234," транспортные пути лимфатической системы, образующиеся при слиянии лимфатических капилляров. По лимфатическим сосудам происходит отток лимфы из органов и тканей в вены.",Лимфатические сосуды ,"['лимфатическ', 'сосуд']","{'вен': 0.006984543387260473, 'сосуд': 0.0017461358468151182, 'орган': 0.0008916438366715498, 'ткан': 0.0005986751474794691, 'образ': 0.0010221283005747033, 'слиян': 0.02095363016178142, 'систем': 0.000901231404807803, 'капилляр': 0.008381452064712568, 'пут': 0.0023947005899178763, 'лимфатическ': 0.008980127212192036, 'лимф': 0.005238407540445355, 'отток': 0.013969086774520946, 'происход': 0.005986751474794691, 'транспортн': 0.08381452064712568}"
235," операция рассечения кости, обычно для исправления врожденных или приобретенных деформаций.",Остеотомия ,['остеотом'],"{'ил': 0.0003934954020991816, 'обычн': 0.0034922716936302365, 'операц': 0.005986751474794691, 'кост': 0.0032236354095048336, 'деформац': 0.013969086774520946, 'врожден': 0.005238407540445355, 'приобретен': 0.006447270819009667, 'рассечен': 0.04190726032356284, 'исправлен': 0.08381452064712568}"
236," увеличение объема органа или части тела: мышц у атлетов, матки при беременности. Патологическая гипертрофия - увеличение миокарда при пороках сердца.",Гипертрофия ,['гипертроф'],"{'част': 0.0013303892166210425, 'мышц': 0.0017105004213699118, 'сердц': 0.0017461358468151182, 'ил': 0.0003934954020991816, 'орга': 0.0013740085351987815, 'тел': 0.0012699169795019041, 'миокард': 0.007619501877011425, 'патологическ': 0.003104241505449099, 'увеличен': 0.006984543387260473, 'объем': 0.013969086774520946, 'беремен': 0.003352580825885027, 'матк': 0.004656362258173649, 'гипертроф': 0.04190726032356284, 'атлет': 0.08381452064712568, 'порок': 0.007619501877011425}"
237," активный захват и поглощение живых клеток одноклеточными организмами или особыми клетками - фагоцитами. Фагоцитоз - одна из защитных реакций организма, главным образом при воспалении.",Фагоцитоз  ,['фагоцитоз'],"{'клетк': 0.0010221283005747033, 'образ': 0.0010221283005747033, 'организм': 0.0010037667143368344, 'воспален': 0.0013740085351987815, 'ил': 0.0003934954020991816, 'жив': 0.003352580825885027, 'одноклеточн': 0.016762904129425136, 'главн': 0.0024651329602095786, 'особ': 0.006447270819009667, 'клеток': 0.0015521207527245495, 'активн': 0.003991167649863127, 'реакц': 0.0022652573147871804, 'одн': 0.005986751474794691, 'защитн': 0.005587634709808378, 'фагоцитоз': 0.02095363016178142, 'захват': 0.04190726032356284, 'поглощен': 0.08381452064712568, 'фагоцит': 0.027938173549041892}"
238," регулируют развитие и функции половых органов, развитие вторичных половых признаков, половое влечение и поведение. Многосторонне влияют на организм, например, на развитие мышц и скелета. Вырабатываются главным образом половыми железами - семенниками и яичниками. Как мужские половые гормоны (андрогены), так и женские (эстрогены и прогестерон) образуются у особей обоих полов, но в различных соотношениях. По химической природе - стероиды и полипептиды.",Половые гормоны ,"['полов', 'гормон']","{'различн': 0.0023281811290868245, 'мышц': 0.0017105004213699118, 'орган': 0.0008916438366715498, 'образ': 0.0020442566011494067, 'женск': 0.007619501877011425, 'организм': 0.0005018833571684172, 'желез': 0.0007163634243344075, 'мужск': 0.005986751474794691, 'полов': 0.007352150933958392, 'гормон': 0.0013096018851113387, 'вырабатыва': 0.0019955838249315636, 'природ': 0.005986751474794691, 'развит': 0.00483545311425725, 'функц': 0.0016434219734730525, 'химическ': 0.0032236354095048336, 'признак': 0.0034922716936302365, 'например': 0.0008640672231662441, 'пол': 0.005587634709808378, 'главн': 0.0024651329602095786, 'особ': 0.006447270819009667, 'яичник': 0.008381452064712568, 'регулир': 0.003991167649863127, 'скелет': 0.011973502949589382, 'вторичн': 0.02095363016178142, 'семенник': 0.02095363016178142, 'влечен': 0.04190726032356284, 'поведен': 0.04190726032356284, 'многосторон': 0.08381452064712568, 'влия': 0.027938173549041892, 'андрог': 0.04190726032356284, 'эстрог': 0.04190726032356284, 'прогестерон': 0.027938173549041892, 'обо': 0.08381452064712568, 'соотношен': 0.027938173549041892, 'стероид': 0.02095363016178142, 'полипептид': 0.08381452064712568}"
239," удаление из организма избыточной жидкости. Дезинтоксикационная терапия -- комплекс лечебных мер, имеющих целью немедленное выведение яда из организма или его обезвреживание.",Дегидратация  ,['дегидратац'],"{'ег': 0.0018625449032694595, 'организм': 0.0010037667143368344, 'жидкост': 0.0022056452801875177, 'яд': 0.013969086774520946, 'ил': 0.0003934954020991816, 'цел': 0.0034922716936302365, 'имеющ': 0.02095363016178142, 'лечебн': 0.004930265920419157, 'терап': 0.01047681508089071, 'выведен': 0.007619501877011425, 'удален': 0.007619501877011425, 'избыточн': 0.011973502949589382, 'дезинтоксикацион': 0.04190726032356284, 'комплекс': 0.027938173549041892, 'мер': 0.04190726032356284, 'немедлен': 0.04190726032356284, 'обезвреживан': 0.08381452064712568}"
240," возвышающиеся над поверхностью кожи отечные элементы (волдыри) ярко-розового цвета размером от 0,5 до нескольких сантиметров, сильно зудящие; они быстро бесследно исчезают (в течение нескольких часов или дней). Обусловлены остро развивающимся отеком кожи, обычно имеют аллергическую природу.",Уртикарная сыпь  ,"['уртикарн', 'сып']","{'элемент': 0.00364410959335329, 'кож': 0.0023947005899178763, 'развива': 0.004656362258173649, 'возвыша': 0.04190726032356284, 'природ': 0.005986751474794691, 'ил': 0.0003934954020991816, 'имеют': 0.008381452064712568, 'цвет': 0.013969086774520946, 'остр': 0.0025398339590038082, 'обычн': 0.0034922716936302365, 'аллергическ': 0.005986751474794691, 'сильн': 0.011973502949589382, 'течен': 0.005238407540445355, 'поверхн': 0.0032236354095048336, 'отек': 0.005986751474794691, '5': 0.005587634709808378, 'зудя': 0.04190726032356284, 'волдыр': 0.04190726032356284, 'отечн': 0.04190726032356284, 'ярк': 0.08381452064712568, 'розов': 0.08381452064712568, 'размер': 0.016762904129425136, '0': 0.016762904129425136, 'нескольк': 0.02095363016178142, 'сантиметр': 0.08381452064712568, 'быстр': 0.016762904129425136, 'бесследн': 0.08381452064712568, 'исчеза': 0.08381452064712568, 'час': 0.04190726032356284, 'дне': 0.027938173549041892, 'обусловл': 0.02095363016178142}"
241, место пребывания источника возбудителя инфекции.,Эпизоотический ареал  ,"['эпизоотическ', 'ареа']","{'возбудител': 0.003991167649863127, 'инфекц': 0.0038097509385057126, 'мест': 0.016762904129425136, 'источник': 0.01047681508089071, 'пребыван': 0.08381452064712568}"
242," заращение полости или просвета какого-либо трубчатого органа, сосуда. Может быть врожденной или приобретенной (например, воспаления, тромбоза).",Облитерация ,['облитерац'],"{'сосуд': 0.0017461358468151182, 'полост': 0.0016762904129425135, 'тромбоз': 0.027938173549041892, 'воспален': 0.0013740085351987815, 'ил': 0.0007869908041983632, 'трубчат': 0.013969086774520946, 'орга': 0.0013740085351987815, 'например': 0.0008640672231662441, 'либ': 0.002890155884383644, 'быт': 0.005587634709808378, 'может': 0.0038097509385057126, 'врожден': 0.005238407540445355, 'приобретен': 0.006447270819009667, 'заращен': 0.08381452064712568, 'просвет': 0.01047681508089071}"
243, уменьшение частоты сердечных сокращений ниже 60 ударов в 1 минуту. Может быть обусловлена конституцией человека или явиться следствием различных заоолевании.,Брадикардия ,['брадикард'],"{'различн': 0.0023281811290868245, 'сердечн': 0.0029933757373973454, 'сокращен': 0.003991167649863127, 'человек': 0.0011175269419616757, 'ил': 0.0003934954020991816, 'уменьшен': 0.01047681508089071, 'быт': 0.005587634709808378, 'может': 0.0038097509385057126, '1': 0.0024651329602095786, 'минут': 0.02095363016178142, 'частот': 0.016762904129425136, 'удар': 0.027938173549041892, 'обусловл': 0.02095363016178142, 'ниж': 0.016762904129425136, '60': 0.08381452064712568, 'конституц': 0.027938173549041892, 'яв': 0.08381452064712568, 'следств': 0.04190726032356284, 'заоолеван': 0.08381452064712568}"
244," группа инфекционных и инвазионных болезней животных, которыми болеет и человек.",Зооантропонозы,['зооантропоноз'],"{'котор': 0.0008640672231662441, 'человек': 0.0011175269419616757, 'болезн': 0.0009210386884299525, 'животн': 0.0029933757373973454, 'групп': 0.002890155884383644, 'инфекцион': 0.0016434219734730525, 'инвазион': 0.04190726032356284, 'болеет': 0.08381452064712568}"
245," посредник, передатчик.",Медиатор ,['медиатор'],"{'передатчик': 0.04190726032356284, 'посредник': 0.08381452064712568}"
246, острое или хроническое заболевание поджелудочной железы.,Панкреатит  ,['панкреат'],"{'заболеван': 0.00044820599276537796, 'желез': 0.0007163634243344075, 'ил': 0.0003934954020991816, 'хроническ': 0.0034922716936302365, 'остр': 0.0025398339590038082, 'поджелудочн': 0.005986751474794691}"
247," болезни, вызываемые паразитическими грибами. Различают микозы кожи (дерматомикозы) и микозы внутренних органов. Некоторыми микозами болеют только люди или животные, другими человек заражается от животных (например, микроспорией).",Микозы ,['микоз'],"{'кож': 0.0011973502949589382, 'орган': 0.0008916438366715498, 'внутрен': 0.0013096018851113387, 'человек': 0.0011175269419616757, 'болезн': 0.0009210386884299525, 'друг': 0.0015239003754022851, 'ил': 0.0003934954020991816, 'животн': 0.005986751474794691, 'вызыва': 0.0017105004213699118, 'гриб': 0.011973502949589382, 'некотор': 0.0016762904129425135, 'паразитическ': 0.02095363016178142, 'микоз': 0.04190726032356284, 'микроспор': 0.04190726032356284, 'например': 0.0008640672231662441, 'люд': 0.013969086774520946, 'тольк': 0.009312724516347298, 'заража': 0.04190726032356284, 'различа': 0.005986751474794691, 'болеют': 0.04190726032356284, 'дерматомикоз': 0.04190726032356284}"
248,пересаживание) - 1. Пересадка органов и тканей. 2. Особый вид переливания крови: ауто- собственной и гомодонорской.,Трансплантация ,['трансплантац'],"{'кров': 0.0005304716496653524, 'орган': 0.0008916438366715498, 'ткан': 0.0005986751474794691, '2': 0.0022652573147871804, 'переливан': 0.02095363016178142, 'вид': 0.0023947005899178763, 'пересадк': 0.027938173549041892, 'особ': 0.006447270819009667, '1': 0.0024651329602095786, 'пересаживан': 0.08381452064712568, 'аут': 0.08381452064712568, 'собствен': 0.027938173549041892, 'гомодонорск': 0.08381452064712568}"
249," родословная. Генеалогический метод в медицинской практике заключается в генетическом анализе родственных связей для определения закономерности передачи патологических признаков по наследству. Источниками сведений обычно служат непосредственное клиническое обследование, истории болезней (или выписка из них), результаты опроса членов семьи. Тщательный генетический анализ помогает отличить наследственную патологию от нарушений другой, не наследственной природы, но сходную с ней по внешним проявлениям.",Генеалогия ,['генеалог'],"{'помога': 0.027938173549041892, 'результат': 0.004930265920419157, 'болезн': 0.0009210386884299525, 'друг': 0.0015239003754022851, 'природ': 0.005986751474794691, 'ил': 0.0003934954020991816, 'нарушен': 0.0012894541638019334, 'них': 0.009312724516347298, 'патолог': 0.013969086774520946, 'медицинск': 0.02095363016178142, 'наследствен': 0.008381452064712568, 'передач': 0.011973502949589382, 'признак': 0.0034922716936302365, 'обычн': 0.0034922716936302365, 'генетическ': 0.018625449032694596, 'определен': 0.003352580825885027, 'внешн': 0.006984543387260473, 'проявлен': 0.0032236354095048336, 'метод': 0.001250962994733219, 'связ': 0.005986751474794691, 'источник': 0.01047681508089071, 'член': 0.027938173549041892, 'патологическ': 0.003104241505449099, 'клиническ': 0.005986751474794691, 'заключа': 0.02095363016178142, 'отлич': 0.02095363016178142, 'родословн': 0.08381452064712568, 'генеалогическ': 0.08381452064712568, 'практик': 0.02095363016178142, 'анализ': 0.055876347098083784, 'родствен': 0.08381452064712568, 'закономерн': 0.02095363016178142, 'наследств': 0.08381452064712568, 'сведен': 0.08381452064712568, 'служат': 0.04190726032356284, 'непосредствен': 0.02095363016178142, 'обследован': 0.027938173549041892, 'истор': 0.08381452064712568, 'выписк': 0.08381452064712568, 'опрос': 0.08381452064712568, 'сем': 0.08381452064712568, 'тщательн': 0.08381452064712568, 'сходн': 0.04190726032356284}"
250," временная эндокринная железа в организме женщины, развивается в яичнике после овуляции и выделяет гормон прогестерон.",Желтое тело ,"['желт', 'тел']","{'развива': 0.004656362258173649, 'организм': 0.0005018833571684172, 'желез': 0.0007163634243344075, 'выделя': 0.002890155884383644, 'гормон': 0.0013096018851113387, 'посл': 0.0026192037702226774, 'яичник': 0.008381452064712568, 'женщин': 0.004930265920419157, 'овуляц': 0.011973502949589382, 'эндокрин': 0.005238407540445355, 'прогестерон': 0.027938173549041892, 'времен': 0.016762904129425136}"
251," введение слечебной целью кислорода в дыхательные пути (кислородные подушки, ингаляторы), желудочно-кишечный тракт или подкожно при некоторых болезнях сердца, легких, отравлениях.",Оксигенотерапия ,['оксигенотерап'],"{'сердц': 0.0017461358468151182, 'кислород': 0.006447270819009667, 'болезн': 0.0009210386884299525, 'легк': 0.003104241505449099, 'ил': 0.0003934954020991816, 'цел': 0.0034922716936302365, 'введен': 0.0029933757373973454, 'некотор': 0.0016762904129425135, 'дыхательн': 0.005587634709808378, 'желудочн': 0.007619501877011425, 'кишечн': 0.005587634709808378, 'пут': 0.0023947005899178763, 'кислородн': 0.016762904129425136, 'отравлен': 0.006984543387260473, 'тракт': 0.016762904129425136, 'подкожн': 0.011973502949589382, 'слечебн': 0.08381452064712568, 'подушк': 0.08381452064712568, 'ингалятор': 0.08381452064712568}"
