,Targ,KwMult
89,"Гидроцефалия  - увеличение количества спинномозговой жидкости в полости черепа из-за чрезмерной продукции или затруднения оттока. Возникает главным образом после внутриутробной, родовой травмы, энцефалита и др. заболеваний мозга. Сопровождается увеличением объема черепа, задержкой развития и пр.","{'образ': 0.10953762723139249, 'ил': 0.007302508482092833, 'др': 0.027384406807848122, 'главн': 0.10953762723139249, 'заболеван': 0.018256271205232082, 'травм': 0.036512542410464165, 'мозг': 0.027384406807848122, 'энцефал': 0.10953762723139249, 'сопровожда': 0.10953762723139249}"
90,"Запоры — замедленное, затрудненное или систематически недостаточное опорожнение кишечника.",{'ил': 0.007302508482092833}
91,"Норадреналин - нейрогормон. Образуется в мозговом слое надпочечников и в нервной системе, где служит медиатором (передатчиком) нервного импульса через синапс. Повышает кровяное давление, стимулирует углеводный обмен. Полученный синтетическим путем применяется в медицине, например, при отравлениях.","{'получа': 0.015648232461627498, 'медицин': 0.036512542410464165, 'мозгов': 0.10953762723139249, 'систем': 0.036512542410464165, 'нервн': 0.036512542410464165, 'например': 0.054768813615696244}"
92,"Гематурия  - выделение крови с мочой. Причины - заболевания почек, мочевыводящих путей, снижение свертываемости крови и др.","{'др': 0.027384406807848122, 'заболеван': 0.018256271205232082, 'моч': 0.054768813615696244, 'причин': 0.10953762723139249}"
93,Спринцевание - промывание влагалища жидкостью для удаления спермы или в лечебных целях.,"{'цел': 0.054768813615696244, 'ил': 0.007302508482092833, 'лечебн': 0.036512542410464165}"
94,"Коагуляция - процесс нарушения нормальных свойств белков, их свертывания под действием различных факторов - физических (температурах), химических (ожог кислотой, щелочью и др.), биологических (воздействие определенных факторов, при которых нарушается гомеостаз и вследствие этого белки теряют свои свойства).","{'определен': 0.036512542410464165, 'др': 0.027384406807848122, 'котор': 0.018256271205232082, 'их': 0.10953762723139249, 'физическ': 0.10953762723139249, 'действ': 0.054768813615696244, 'эт': 0.036512542410464165, 'нарушен': 0.054768813615696244, 'процесс': 0.036512542410464165, 'наруша': 0.10953762723139249, 'сво': 0.10953762723139249, 'нормальн': 0.10953762723139249}"
95,"Сетчатка  - внутренняя оболочка глаза, состоящая из множества светочувствительных палочковых и колбочковых клеток (у человека около 7 млн. колбочек и 75-150 млн. палочек). Преобразует световое раздражение в нервное возбуждение и осуществляет первичную обработку зрительного сигпгпз. Вое паление сетчатки - ретинит.","{'состоя': 0.10953762723139249, 'внутрен': 0.10953762723139249, 'первичн': 0.10953762723139249, 'человек': 0.027384406807848122, 'нервн': 0.036512542410464165}"
96,"Ритмический метод  - метод периодического воздержания от половой жизни в дни, близкие к овуляции","{'жизн': 0.054768813615696244, 'метод': 0.10953762723139249}"
97,"Радужная оболочка (радужка) - тонкая подвижная диафрагма глаза со зрачковым отверстием в центре, путем сужения и расширения зрачка регулирует поступление света на сетчатку. Содержит пигментные клетки, определяющие цвет глаза. Воспаление радужной оболочки - ирит.",{'цвет': 0.10953762723139249}
98,"Гиподинамия - нарушение функции организма (опорно-двигательного аппарата, кровообращения, дыхания, пищеварения) при ограничении двигательной активности.","{'нарушен': 0.054768813615696244, 'аппарат': 0.10953762723139249, 'двигательн': 0.10953762723139249, 'функц': 0.054768813615696244, 'организм': 0.054768813615696244, 'кровообращен': 0.10953762723139249}"
99,"Сома - от греч. ""тело"", часть слова, обозначающая отношение к телу.","{'греч': 0.027384406807848122, 'част': 0.036512542410464165, 'тел': 0.054768813615696244, 'слов': 0.10953762723139249, 'отношен': 0.10953762723139249}"
