,Definitions,Term,TermLemm,KwMult,KwNorm
237," активный захват и поглощение живых клеток одноклеточными организмами или особыми клетками - фагоцитами. Фагоцитоз - одна из защитных реакций организма, главным образом при воспалении.",Фагоцитоз  ,['фагоцитоз'],"{'клетк': 0.0006196584312776277, 'организм': 0.0010092640317815253, 'воспален': 0.0013815335517009403, 'ил': 0.0003956504537735087, 'образ': 0.0024078156186787816, 'жив': 0.0033709418661502944, 'одноклеточн': 0.01685470933075147, 'главн': 0.0024786337251105107, 'особ': 0.006482580511827489, 'активн': 0.004013026031131303, 'реакц': 0.0022776634230745234, 'защитн': 0.005618236443583824, 'фагоцитоз': 0.02106838666343934, 'захват': 0.04213677332687868, 'поглощен': 0.08427354665375736}","{'организм': 0.005219257349865962, 'воспален': 0.007144393257603407, 'образ': 0.01245165682039451, 'жив': 0.017432319548552316, 'одноклеточн': 0.08716159774276157, 'главн': 0.01281788202099435, 'особ': 0.03352369143952368, 'активн': 0.020752761367324183, 'реакц': 0.011778594289562376, 'защитн': 0.02905386591425386, 'фагоцитоз': 0.10895199717845197, 'захват': 0.21790399435690394, 'поглощен': 0.4358079887138079}"
238," регулируют развитие и функции половых органов, развитие вторичных половых признаков, половое влечение и поведение. Многосторонне влияют на организм, например, на развитие мышц и скелета. Вырабатываются главным образом половыми железами - семенниками и яичниками. Как мужские половые гормоны (андрогены), так и женские (эстрогены и прогестерон) образуются у особей обоих полов, но в различных соотношениях. По химической природе - стероиды и полипептиды.",Половые гормоны ,"['полов', 'гормон']","{'различн': 0.00234093185149326, 'мышц': 0.0017198682990562726, 'женск': 0.007661231513977942, 'организм': 0.0005046320158907626, 'желез': 0.0007202867235363877, 'мужск': 0.006019539046696954, 'полов': 0.00739241637313661, 'гормон': 0.0013167741664649587, 'вырабатыва': 0.0020065130155656513, 'природ': 0.006019539046696954, 'образ': 0.004815631237357563, 'развит': 0.0049572674502210215, 'функц': 0.001652422483407007, 'химическ': 0.0032412902559137446, 'признак': 0.00351139777723989, 'например': 0.0008687994500387356, 'пол': 0.005618236443583824, 'главн': 0.0024786337251105107, 'особ': 0.006482580511827489, 'яичник': 0.008427354665375735, 'скелет': 0.012039078093393909, 'вторичн': 0.02106838666343934, 'семенник': 0.02106838666343934, 'влечен': 0.04213677332687868, 'поведен': 0.04213677332687868, 'многосторон': 0.08427354665375736, 'влия': 0.02809118221791912, 'андрог': 0.04213677332687868, 'эстрог': 0.04213677332687868, 'прогестерон': 0.02809118221791912, 'соотношен': 0.02809118221791912, 'стероид': 0.02106838666343934, 'полипептид': 0.08427354665375736}","{'различн': 0.004084380874531706, 'мышц': 0.0030007696221049265, 'женск': 0.013367064680285583, 'мужск': 0.010502693677367243, 'полов': 0.012898044866942227, 'гормон': 0.0022974642419240844, 'вырабатыва': 0.0035008978924557475, 'природ': 0.010502693677367243, 'образ': 0.008402154941893794, 'развит': 0.008649277146067141, 'функц': 0.0028830923820223806, 'химическ': 0.005655296595505439, 'признак': 0.006126571311797558, 'например': 0.0015158526957024887, 'пол': 0.009802514098876093, 'главн': 0.004324638573033571, 'особ': 0.011310593191010878, 'яичник': 0.01470377114831414, 'скелет': 0.021005387354734485, 'вторичн': 0.03675942787078535, 'семенник': 0.03675942787078535, 'влечен': 0.0735188557415707, 'поведен': 0.0735188557415707, 'многосторон': 0.1470377114831414, 'влия': 0.049012570494380465, 'андрог': 0.0735188557415707, 'эстрог': 0.0735188557415707, 'прогестерон': 0.049012570494380465, 'соотношен': 0.049012570494380465, 'стероид': 0.03675942787078535, 'полипептид': 0.1470377114831414}"
239," удаление из организма избыточной жидкости. Дезинтоксикационная терапия -- комплекс лечебных мер, имеющих целью немедленное выведение яда из организма или его обезвреживание.",Дегидратация  ,['дегидратац'],"{'ег': 0.002160860170609163, 'организм': 0.0010092640317815253, 'жидкост': 0.002217724911940983, 'яд': 0.01404559110895956, 'ил': 0.0003956504537735087, 'цел': 0.00351139777723989, 'лечебн': 0.0049572674502210215, 'терап': 0.01053419333171967, 'выведен': 0.007661231513977942, 'удален': 0.007661231513977942, 'избыточн': 0.012039078093393909, 'дезинтоксикацион': 0.04213677332687868, 'комплекс': 0.02809118221791912, 'мер': 0.04213677332687868, 'немедлен': 0.04213677332687868, 'обезвреживан': 0.08427354665375736}","{'ег': 0.007094722644008292, 'организм': 0.0033137027918122564, 'жидкост': 0.007281425871482195, 'яд': 0.0461156971860539, 'цел': 0.011528924296513475, 'лечебн': 0.01627612841860726, 'терап': 0.03458677288954042, 'выведен': 0.02515401664693849, 'удален': 0.02515401664693849, 'избыточн': 0.03952774044518906, 'дезинтоксикацион': 0.1383470915581617, 'комплекс': 0.0922313943721078, 'мер': 0.1383470915581617, 'немедлен': 0.1383470915581617, 'обезвреживан': 0.2766941831163234}"
240," возвышающиеся над поверхностью кожи отечные элементы (волдыри) ярко-розового цвета размером от 0,5 до нескольких сантиметров, сильно зудящие; они быстро бесследно исчезают (в течение нескольких часов или дней). Обусловлены остро развивающимся отеком кожи, обычно имеют аллергическую природу.",Уртикарная сыпь  ,"['уртикарн', 'сып']","{'элемент': 0.003664067245815537, 'кож': 0.0024078156186787816, 'развива': 0.004213677332687868, 'возвыша': 0.04213677332687868, 'природ': 0.006019539046696954, 'ил': 0.0003956504537735087, 'цвет': 0.01404559110895956, 'остр': 0.0025537438379926473, 'обычн': 0.00351139777723989, 'аллергическ': 0.006019539046696954, 'сильн': 0.012039078093393909, 'течен': 0.005267096665859835, 'поверхн': 0.0032412902559137446, 'отек': 0.006019539046696954, '5': 0.005618236443583824, 'волдыр': 0.04213677332687868, 'отечн': 0.04213677332687868, 'ярк': 0.08427354665375736, 'розов': 0.08427354665375736, 'размер': 0.01685470933075147, '0': 0.01685470933075147, 'нескольк': 0.02106838666343934, 'сантиметр': 0.08427354665375736, 'быстр': 0.01685470933075147, 'бесследн': 0.08427354665375736, 'исчеза': 0.08427354665375736, 'час': 0.04213677332687868}","{'элемент': 0.004977216451921309, 'кож': 0.003270742239834003, 'развива': 0.005723798919709504, 'возвыша': 0.05723798919709505, 'природ': 0.008176855599585007, 'цвет': 0.01907932973236502, 'остр': 0.003468969042248185, 'обычн': 0.004769832433091255, 'аллергическ': 0.008176855599585007, 'сильн': 0.016353711199170014, 'течен': 0.0071547486496368815, 'поверхн': 0.004402922245930389, 'отек': 0.008176855599585007, '5': 0.007631731892946006, 'волдыр': 0.05723798919709505, 'отечн': 0.05723798919709505, 'ярк': 0.1144759783941901, 'розов': 0.1144759783941901, 'размер': 0.022895195678838017, '0': 0.022895195678838017, 'нескольк': 0.028618994598547526, 'сантиметр': 0.1144759783941901, 'быстр': 0.022895195678838017, 'бесследн': 0.1144759783941901, 'исчеза': 0.1144759783941901, 'час': 0.05723798919709505}"
241, место пребывания источника возбудителя инфекции.,Эпизоотический ареал  ,"['эпизоотическ', 'ареа']","{'возбудител': 0.004013026031131303, 'инфекц': 0.003830615756988971, 'мест': 0.01685470933075147, 'источник': 0.01053419333171967, 'пребыван': 0.08427354665375736}","{'возбудител': 0.03358009616118446, 'инфекц': 0.032053728153857895, 'мест': 0.14103640387697472, 'источник': 0.08814775242310921, 'пребыван': 0.7051820193848737}"
242," заращение полости или просвета какого-либо трубчатого органа, сосуда. Может быть врожденной или приобретенной (например, воспаления, тромбоза).",Облитерация ,['облитерац'],"{'сосуд': 0.001755698888619945, 'орга': 0.000543700300991983, 'полост': 0.0016854709330751472, 'тромбоз': 0.02809118221791912, 'воспален': 0.0013815335517009403, 'ил': 0.0007913009075470175, 'быт': 0.00468186370298652, 'трубчат': 0.01404559110895956, 'например': 0.0008687994500387356, 'либ': 0.0029059843673709435, 'врожден': 0.005267096665859835, 'заращен': 0.08427354665375736, 'просвет': 0.01053419333171967}","{'сосуд': 0.011291324452391458, 'полост': 0.010839671474295801, 'тромбоз': 0.18066119123826332, 'воспален': 0.008884976618275246, 'быт': 0.03011019853971056, 'трубчат': 0.09033059561913166, 'например': 0.005587459522832887, 'либ': 0.018689088748785863, 'врожден': 0.033873973357174375, 'заращен': 0.54198357371479, 'просвет': 0.06774794671434875}"
243, уменьшение частоты сердечных сокращений ниже 60 ударов в 1 минуту. Может быть обусловлена конституцией человека или явиться следствием различных заоолевании.,Брадикардия ,['брадикард'],"{'различн': 0.00234093185149326, 'сердечн': 0.003009769523348477, 'сокращен': 0.004013026031131303, 'человек': 0.0010404141562192267, 'ил': 0.0003956504537735087, 'уменьшен': 0.01053419333171967, 'быт': 0.00468186370298652, '1': 0.0024786337251105107, 'минут': 0.02106838666343934, 'частот': 0.01685470933075147, 'удар': 0.02809118221791912, 'ниж': 0.02809118221791912, '60': 0.08427354665375736, 'конституц': 0.02809118221791912, 'следств': 0.04213677332687868, 'заоолеван': 0.08427354665375736}","{'различн': 0.006484946870059467, 'сердечн': 0.008337788832933601, 'сокращен': 0.011117051777244799, 'человек': 0.0028821986089153187, 'уменьшен': 0.0291822609152676, 'быт': 0.012969893740118935, '1': 0.006866414333004142, 'минут': 0.0583645218305352, 'частот': 0.04669161746442815, 'удар': 0.0778193624407136, 'ниж': 0.0778193624407136, '60': 0.2334580873221408, 'конституц': 0.0778193624407136, 'следств': 0.1167290436610704, 'заоолеван': 0.2334580873221408}"
244," группа инфекционных и инвазионных болезней животных, которыми болеет и человек.",Зооантропонозы,['зооантропоноз'],"{'котор': 0.0008687994500387356, 'человек': 0.0010404141562192267, 'болезн': 0.0009260829302610698, 'животн': 0.003009769523348477, 'групп': 0.0029059843673709435, 'инфекцион': 0.001652422483407007, 'инвазион': 0.04213677332687868}","{'котор': 0.016535884626635817, 'человек': 0.019802232207205856, 'болезн': 0.01762616273388653, 'животн': 0.05728502888513122, 'групп': 0.05530968306150601, 'инфекцион': 0.03145060409379753, 'инвазион': 0.8019904043918371}"
245," посредник, передатчик.",Медиатор ,['медиатор'],"{'передатчик': 0.04213677332687868, 'посредник': 0.08427354665375736}","{'передатчик': 0.3333333333333333, 'посредник': 0.6666666666666666}"
246, острое или хроническое заболевание поджелудочной железы.,Панкреатит  ,['панкреат'],"{'заболеван': 0.0004506606772928201, 'желез': 0.0007202867235363877, 'ил': 0.0003956504537735087, 'хроническ': 0.00351139777723989, 'остр': 0.0025537438379926473, 'поджелудочн': 0.006019539046696954}","{'заболеван': 0.033012342158798766, 'желез': 0.05276331609996042, 'ил': 0.028982666590119104, 'хроническ': 0.25722116598730704, 'остр': 0.18706993889985968, 'поджелудочн': 0.44095057026395496}"
247," болезни, вызываемые паразитическими грибами. Различают микозы кожи (дерматомикозы) и микозы внутренних органов. Некоторыми микозами болеют только люди или животные, другими человек заражается от животных (например, микроспорией).",Микозы ,['микоз'],"{'вызыва': 0.0014529921836854717, 'кож': 0.0012039078093393908, 'внутрен': 0.0013167741664649587, 'человек': 0.0010404141562192267, 'болезн': 0.0009260829302610698, 'друг': 0.0015322463027955884, 'ил': 0.0003956504537735087, 'животн': 0.006019539046696954, 'гриб': 0.012039078093393909, 'некотор': 0.0016854709330751472, 'паразитическ': 0.02106838666343934, 'микоз': 0.04213677332687868, 'микроспор': 0.04213677332687868, 'например': 0.0008687994500387356, 'заража': 0.02809118221791912, 'тольк': 0.00936372740597304, 'различа': 0.005267096665859835, 'дерматомикоз': 0.04213677332687868}","{'вызыва': 0.006656368543251722, 'кож': 0.005515276792979998, 'внутрен': 0.006032333992321873, 'человек': 0.004766288586525925, 'болезн': 0.004242520609984614, 'друг': 0.007019443191065453, 'животн': 0.027576383964899993, 'гриб': 0.055152767929799985, 'некотор': 0.007721387510171998, 'паразитическ': 0.09651734387714997, 'микоз': 0.19303468775429994, 'микроспор': 0.19303468775429994, 'например': 0.003980096654727833, 'заража': 0.12868979183619997, 'тольк': 0.04289659727873332, 'различа': 0.024129335969287492, 'дерматомикоз': 0.19303468775429994}"
248,пересаживание) - 1. Пересадка органов и тканей. 2. Особый вид переливания крови: ауто- собственной и гомодонорской.,Трансплантация ,['трансплантац'],"{'кров': 0.0005333768775554263, 'ткан': 0.0006019539046696954, '2': 0.0022776634230745234, 'переливан': 0.02106838666343934, 'вид': 0.0024078156186787816, 'пересадк': 0.02809118221791912, 'особ': 0.006482580511827489, '1': 0.0024786337251105107, 'пересаживан': 0.08427354665375736, 'аут': 0.08427354665375736, 'собствен': 0.02809118221791912, 'гомодонорск': 0.08427354665375736}","{'2': 0.006626545203325781, 'переливан': 0.06129554313076347, 'вид': 0.0070052049292301105, 'пересадк': 0.08172739084101796, 'особ': 0.018860167117157992, '1': 0.007211240368325115, 'пересаживан': 0.24518217252305388, 'аут': 0.24518217252305388, 'собствен': 0.08172739084101796, 'гомодонорск': 0.24518217252305388}"
249," родословная. Генеалогический метод в медицинской практике заключается в генетическом анализе родственных связей для определения закономерности передачи патологических признаков по наследству. Источниками сведений обычно служат непосредственное клиническое обследование, истории болезней (или выписка из них), результаты опроса членов семьи. Тщательный генетический анализ помогает отличить наследственную патологию от нарушений другой, не наследственной природы, но сходную с ней по внешним проявлениям.",Генеалогия ,['генеалог'],"{'помога': 0.02809118221791912, 'результат': 0.0049572674502210215, 'болезн': 0.0009260829302610698, 'друг': 0.0015322463027955884, 'природ': 0.006019539046696954, 'ил': 0.0003956504537735087, 'нарушен': 0.0012965161023654978, 'патолог': 0.01404559110895956, 'медицинск': 0.02106838666343934, 'наследствен': 0.008427354665375735, 'передач': 0.012039078093393909, 'признак': 0.00351139777723989, 'обычн': 0.00351139777723989, 'генетическ': 0.01872745481194608, 'определен': 0.003664067245815537, 'внешн': 0.00702279555447978, 'проявлен': 0.0032412902559137446, 'метод': 0.0012578141291605576, 'связ': 0.006019539046696954, 'источник': 0.01053419333171967, 'член': 0.02809118221791912, 'патологическ': 0.00312124246865768, 'клиническ': 0.006019539046696954, 'заключа': 0.01404559110895956, 'отлич': 0.02809118221791912, 'родословн': 0.08427354665375736, 'генеалогическ': 0.08427354665375736, 'практик': 0.02106838666343934, 'анализ': 0.05618236443583824, 'родствен': 0.08427354665375736, 'закономерн': 0.02106838666343934, 'наследств': 0.08427354665375736, 'сведен': 0.08427354665375736, 'непосредствен': 0.02106838666343934, 'обследован': 0.02809118221791912, 'истор': 0.08427354665375736, 'выписк': 0.08427354665375736, 'опрос': 0.08427354665375736, 'сем': 0.04213677332687868, 'тщательн': 0.08427354665375736, 'сходн': 0.04213677332687868}","{'помога': 0.022922668266608832, 'результат': 0.00404517675293097, 'болезн': 0.0007556923604376538, 'друг': 0.0012503273599968456, 'природ': 0.00491200034284475, 'нарушен': 0.0010579693046127152, 'патолог': 0.011461334133304416, 'медицинск': 0.017192001199956623, 'наследствен': 0.006876800479982649, 'передач': 0.0098240006856895, 'признак': 0.002865333533326104, 'обычн': 0.002865333533326104, 'генетическ': 0.01528177884440589, 'определен': 0.0029899132521663692, 'внешн': 0.005730667066652208, 'проявлен': 0.0026449232615317884, 'метод': 0.001026388131340694, 'связ': 0.00491200034284475, 'источник': 0.008596000599978311, 'член': 0.022922668266608832, 'патологическ': 0.002546963140734315, 'клиническ': 0.00491200034284475, 'заключа': 0.011461334133304416, 'отлич': 0.022922668266608832, 'родословн': 0.06876800479982649, 'генеалогическ': 0.06876800479982649, 'практик': 0.017192001199956623, 'анализ': 0.045845336533217665, 'родствен': 0.06876800479982649, 'закономерн': 0.017192001199956623, 'наследств': 0.06876800479982649, 'сведен': 0.06876800479982649, 'непосредствен': 0.017192001199956623, 'обследован': 0.022922668266608832, 'истор': 0.06876800479982649, 'выписк': 0.06876800479982649, 'опрос': 0.06876800479982649, 'сем': 0.034384002399913245, 'тщательн': 0.06876800479982649, 'сходн': 0.034384002399913245}"
250," временная эндокринная железа в организме женщины, развивается в яичнике после овуляции и выделяет гормон прогестерон.",Желтое тело ,"['желт', 'тел']","{'развива': 0.004213677332687868, 'организм': 0.0005046320158907626, 'желез': 0.0007202867235363877, 'выделя': 0.0025537438379926473, 'гормон': 0.0013167741664649587, 'посл': 0.0026335483329299175, 'яичник': 0.008427354665375735, 'женщин': 0.0049572674502210215, 'овуляц': 0.012039078093393909, 'эндокрин': 0.005267096665859835, 'прогестерон': 0.02809118221791912, 'времен': 0.01685470933075147}","{'развива': 0.04811268058747716, 'организм': 0.005761997675146967, 'желез': 0.008224389844013191, 'выделя': 0.029159200356046768, 'гормон': 0.015035212683586615, 'посл': 0.03007042536717323, 'яичник': 0.09622536117495432, 'женщин': 0.056603153632326084, 'овуляц': 0.1374648016785062, 'эндокрин': 0.06014085073434646, 'прогестерон': 0.32075120391651446, 'времен': 0.19245072234990865}"
251," введение слечебной целью кислорода в дыхательные пути (кислородные подушки, ингаляторы), желудочно-кишечный тракт или подкожно при некоторых болезнях сердца, легких, отравлениях.",Оксигенотерапия ,['оксигенотерап'],"{'сердц': 0.001755698888619945, 'кислород': 0.006482580511827489, 'болезн': 0.0009260829302610698, 'легк': 0.00312124246865768, 'ил': 0.0003956504537735087, 'цел': 0.00351139777723989, 'введен': 0.00312124246865768, 'некотор': 0.0016854709330751472, 'дыхательн': 0.005618236443583824, 'желудочн': 0.007661231513977942, 'кишечн': 0.005618236443583824, 'пут': 0.0024078156186787816, 'кислородн': 0.01685470933075147, 'отравлен': 0.00702279555447978, 'тракт': 0.01685470933075147, 'подкожн': 0.012039078093393909, 'слечебн': 0.08427354665375736, 'подушк': 0.08427354665375736, 'ингалятор': 0.08427354665375736}","{'сердц': 0.005052353916870322, 'кислород': 0.018654845231521187, 'болезн': 0.0026649778902173124, 'легк': 0.008981962518880572, 'цел': 0.010104707833740643, 'введен': 0.008981962518880572, 'некотор': 0.004850259760195509, 'дыхательн': 0.016167532533985028, 'желудочн': 0.022046635273615948, 'кишечн': 0.016167532533985028, 'пут': 0.006928942514565012, 'кислородн': 0.048502597601955084, 'отравлен': 0.020209415667481287, 'тракт': 0.048502597601955084, 'подкожн': 0.034644712572825066, 'слечебн': 0.24251298800977544, 'подушк': 0.24251298800977544, 'ингалятор': 0.24251298800977544}"
252," глубокое нарушение обмена веществ, с исхуданием, слабостью, отеками подкожной клетчатки, асцитом и т.д., обусловленное белковым голоданием, сочетающимися с другими неблагоприятными обстоятельствами (холод, физическое и психическое напряжение и т.д.).",Дистрофия алиментарная  ,"['дистроф', 'алиментарн']","{'т': 0.0031801338359908437, 'друг': 0.0015322463027955884, 'белков': 0.00702279555447978, 'нарушен': 0.0012965161023654978, 'обм': 0.001652422483407007, 'веществ': 0.0006741883732300589, 'слабост': 0.02106838666343934, 'д': 0.008870899647763933, 'психическ': 0.00702279555447978, 'голодан': 0.01685470933075147, 'напряжен': 0.00936372740597304, 'холод': 0.01404559110895956, 'физическ': 0.012039078093393909, 'отек': 0.006019539046696954, 'неблагоприятн': 0.01685470933075147, 'клетчатк': 0.012039078093393909, 'подкожн': 0.012039078093393909, 'глубок': 0.012039078093393909, 'исхудан': 0.08427354665375736, 'сочета': 0.02809118221791912, 'обстоятельств': 0.08427354665375736}","{'т': 0.008844046240152828, 'друг': 0.004261222279346363, 'белков': 0.01953060211367083, 'нарушен': 0.0036056496209853836, 'обм': 0.00459543579145196, 'слабост': 0.058591806341012485, 'д': 0.024670234248847362, 'психическ': 0.01953060211367083, 'голодан': 0.04687344507280999, 'напряжен': 0.026040802818227776, 'холод': 0.03906120422734166, 'физическ': 0.03348103219486428, 'отек': 0.01674051609743214, 'неблагоприятн': 0.04687344507280999, 'клетчатк': 0.03348103219486428, 'подкожн': 0.03348103219486428, 'глубок': 0.03348103219486428, 'исхудан': 0.23436722536404994, 'сочета': 0.07812240845468332, 'обстоятельств': 0.23436722536404994}"
253," тяжи нервной ткани, образованные главным образом нервными волокнами.",Нервы ,['нерв'],"{'ткан': 0.0006019539046696954, 'образ': 0.0024078156186787816, 'нервн': 0.0013929511843596258, 'волокн': 0.00351139777723989, 'главн': 0.0024786337251105107, 'тяж': 0.02809118221791912}","{'ткан': 0.01564169343953767, 'образ': 0.06256677375815067, 'нервн': 0.03619565424025246, 'волокн': 0.0912432117306364, 'главн': 0.06440697298633158, 'тяж': 0.7299456938450912}"
254,"от лат. ""сжатие"") - врожденное или приобретенное (например, рубцевое) сужение пищевода, прямой кишки, мочеиспускательного канала и др. полых органов. Термин ""стриктура"" часто применяется в том же значении, что и стеноз.",Стриктура ,['стриктур'],"{'част': 0.001053419333171967, 'др': 0.0006532833073934679, 'прям': 0.006019539046696954, 'кишк': 0.0019598499221804037, 'ил': 0.0003956504537735087, 'применя': 0.002718501504959915, 'значен': 0.00936372740597304, 'кана': 0.005618236443583824, 'пищевод': 0.006482580511827489, 'например': 0.0008687994500387356, 'пол': 0.005618236443583824, 'лат': 0.008427354665375735, 'сужен': 0.007661231513977942, 'термин': 0.02106838666343934, 'врожден': 0.005267096665859835, 'стриктур': 0.04213677332687868, 'сжат': 0.08427354665375736, 'рубцев': 0.08427354665375736, 'мочеиспускательн': 0.01685470933075147, 'стеноз': 0.04213677332687868}","{'част': 0.0029943502547708227, 'прям': 0.017110572884404703, 'кишк': 0.005570884194922462, 'применя': 0.007727355496182769, 'значен': 0.026616446709073982, 'кана': 0.015969868025444388, 'пищевод': 0.01842677079858968, 'например': 0.0024695672204295446, 'пол': 0.015969868025444388, 'лат': 0.023954802038166582, 'сужен': 0.02177709276196962, 'термин': 0.05988700509541646, 'врожден': 0.014971751273854115, 'стриктур': 0.11977401019083292, 'сжат': 0.23954802038166584, 'рубцев': 0.23954802038166584, 'мочеиспускательн': 0.047909604076333163, 'стеноз': 0.11977401019083292}"
255," иммуноглобулины класса Е - антитела, ответственные за аллергические реакции и избыточное высвобождение гистамина.",IgE ,['ige'],"{'е': 0.0018320336229077686, 'антител': 0.004213677332687868, 'гистамин': 0.02809118221791912, 'класс': 0.01685470933075147, 'аллергическ': 0.006019539046696954, 'реакц': 0.0022776634230745234, 'избыточн': 0.012039078093393909, 'иммуноглобулин': 0.02106838666343934, 'ответствен': 0.08427354665375736, 'высвобожден': 0.08427354665375736}","{'е': 0.007020809426136928, 'антител': 0.016147861680114933, 'гистамин': 0.10765241120076624, 'класс': 0.06459144672045973, 'аллергическ': 0.02306837382873562, 'реакц': 0.008728573881143209, 'избыточн': 0.04613674765747124, 'иммуноглобулин': 0.08073930840057468, 'ответствен': 0.3229572336022987, 'высвобожден': 0.3229572336022987}"
256," связь органов и тканей с центральной нервной системой при помощи нервов. Различают иннервацию афферентную, или центростремительную (от органов и тканей к центральной нервной системе) и эфферентную, или центробежную (от центральной нервной системы к органам и тканям).",Иннервация ,['иннервац'],"{'ткан': 0.0018058617140090862, 'систем': 0.0022983694541933828, 'ил': 0.0007913009075470175, 'помощ': 0.002718501504959915, 'нервн': 0.002089426776539439, 'связ': 0.006019539046696954, 'нерв': 0.0032412902559137446, 'различа': 0.005267096665859835, 'центральн': 0.008427354665375735, 'иннервац': 0.04213677332687868, 'афферентн': 0.04213677332687868, 'центростремительн': 0.08427354665375736, 'эфферентн': 0.04213677332687868, 'центробежн': 0.08427354665375736}","{'ткан': 0.005525472421631516, 'систем': 0.00703241944571284, 'помощ': 0.008317915473423788, 'нервн': 0.0063931085870116726, 'связ': 0.01841824140543839, 'нерв': 0.009917514602928364, 'различа': 0.01611596122975859, 'центральн': 0.025785537967613743, 'иннервац': 0.1289276898380687, 'афферентн': 0.1289276898380687, 'центростремительн': 0.2578553796761374, 'эфферентн': 0.1289276898380687, 'центробежн': 0.2578553796761374}"
257,"живое вещество) - содержимое цитоплазмы и ядра клетки, из которого состоит организм.",Протоплазма ,['протоплазм'],"{'котор': 0.0008687994500387356, 'клетк': 0.0006196584312776277, 'организм': 0.0005046320158907626, 'содержим': 0.01053419333171967, 'веществ': 0.0006741883732300589, 'жив': 0.0033709418661502944, 'цитоплазм': 0.02809118221791912, 'ядр': 0.01685470933075147}","{'котор': 0.014122616834110847, 'клетк': 0.010072748771387885, 'организм': 0.008202957083285941, 'содержим': 0.17123672911359403, 'веществ': 0.010959150663270018, 'жив': 0.05479575331635009, 'цитоплазм': 0.4566312776362507, 'ядр': 0.2739787665817504}"
258, в римской мифологии бог врачевания.,Эскулап ,['эскулап'],"{'римск': 0.08427354665375736, 'мифолог': 0.08427354665375736, 'бог': 0.08427354665375736, 'врачеван': 0.08427354665375736}","{'римск': 0.25, 'мифолог': 0.25, 'бог': 0.25, 'врачеван': 0.25}"
259, парная часть периферической нервной системы.,Шейное сплетение ,"['шейн', 'сплетен']","{'част': 0.001053419333171967, 'систем': 0.0007661231513977942, 'нервн': 0.0006964755921798129, 'периферическ': 0.012039078093393909, 'парн': 0.01685470933075147}","{'част': 0.03353791328449812, 'систем': 0.02439120966145318, 'нервн': 0.022173826964957438, 'периферическ': 0.38329043753712144, 'парн': 0.53660661255197}"
260," острые кишечные инфекции, вызываемые сальмонеялами. Признаки: повышение температуры, рвота, понос; заражение через мясо, яйца больных птиц и т.д.",Сальмонеллезы ,['сальмонеллез'],"{'вызыва': 0.0014529921836854717, 'т': 0.0015900669179954219, 'повышен': 0.00312124246865768, 'птиц': 0.02809118221791912, 'температур': 0.003009769523348477, 'остр': 0.0025537438379926473, 'признак': 0.00351139777723989, 'кишечн': 0.005618236443583824, 'инфекц': 0.003830615756988971, 'д': 0.004435449823881966, 'больн': 0.005267096665859835, 'рвот': 0.01404559110895956, 'понос': 0.01404559110895956, 'заражен': 0.01685470933075147, 'мяс': 0.08427354665375736, 'яйц': 0.02106838666343934}","{'вызыва': 0.00682894575853847, 'т': 0.007473185924438326, 'повышен': 0.014669587185008565, 'птиц': 0.1320262846650771, 'температур': 0.014145673356972546, 'остр': 0.012002389515007008, 'признак': 0.016503285583134637, 'кишечн': 0.026405256933015417, 'инфекц': 0.018003584272510514, 'д': 0.020846255473433224, 'больн': 0.024754928374701952, 'рвот': 0.06601314233253855, 'понос': 0.06601314233253855, 'заражен': 0.07921577079904625, 'мяс': 0.39607885399523124, 'яйц': 0.09901971349880781}"
261," жидкая составляющая мужской спермы, в которой находятся сперматозоиды.",Семенная жидкость ,"['семен', 'жидкост']","{'жидк': 0.008427354665375735, 'котор': 0.0008687994500387356, 'наход': 0.00936372740597304, 'сперматозоид': 0.006482580511827489, 'составля': 0.006482580511827489, 'мужск': 0.006019539046696954, 'сперм': 0.02106838666343934}","{'жидк': 0.14353480867716817, 'котор': 0.01479740295640909, 'наход': 0.1594831207524091, 'сперматозоид': 0.11041139129012938, 'составля': 0.11041139129012938, 'мужск': 0.10252486334083442, 'сперм': 0.3588370216929205}"
262," 1. Всасывание; 2. Рассасывание (например, резорбция кости при лейкозах).",Резорбция ,['резорбц'],"{'2': 0.0022776634230745234, 'всасыван': 0.02106838666343934, 'например': 0.0008687994500387356, 'кост': 0.0032412902559137446, '1': 0.0024786337251105107, 'резорбц': 0.04213677332687868, 'рассасыван': 0.08427354665375736, 'лейкоз': 0.04213677332687868}","{'2': 0.011475423218795456, 'всасыван': 0.10614766477385795, 'например': 0.004377223289643627, 'кост': 0.016330409965208917, '1': 0.01248796056163035, 'резорбц': 0.2122953295477159, 'рассасыван': 0.4245906590954318, 'лейкоз': 0.2122953295477159}"
