Name,ActiveSubstance,Targ,AnaloguesText,AnalogsLinks,PharmaLink-href,Lots-href,Аптека/Адрес,Метро,Цена,As,Tf-Idf,KwFilt
Эналаприл-Акри® (Enalapril-Akri),Эналаприл* (Enalapril*), — гипотензивное,"
























","
























",https://www.rlsnet.ru/tn_index_id_12544.htm,"
























","
























","
























","
























","['эналапр', 'enalapril']",{'гипотензивн': 0.08203128829495446},{'гипотензивн': 0.08203128829495446}
Энам® (Enam),Эналаприл* (Enalapril*), — гипотензивное,"


Эналаприл форте








Энап®



Эналаприл-Аджио













Эналаприла малеат




Рениприл®

Эналаприл Канон

Эналаприл-ФПО®
Ренитек®

Берлиприл® 20




























Берлиприл® 10

Эднит®

Эналаприл-УБФ



















Эналаприл ГЕКСАЛ




Энафарм

Берлиприл® 5




Эналаприл








","




Берлиприл® 20




Эналаприл-ФПО®






Ренитек®

Рениприл®







Эналаприл Канон




Берлиприл® 10

Берлиприл® 5












Энафарм



Эналаприл-Аджио





Эналаприл








Эналаприл ГЕКСАЛ





Энап®

Эналаприл форте

Эналаприла малеат











Эналаприл-УБФ

Эднит®

























",https://www.rlsnet.ru/tn_index_id_3681.htm,"







https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enam-36599/&page=/tn_index_id_3681.htm




https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/enam_5mg_n20_tab_dr_reddys_laboratories_ltd.html&page=/tn_index_id_3681.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enam-tab-10mg-n20-1109&page=/tn_index_id_3681.htm










https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enam-36576/&page=/tn_index_id_3681.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/2576600/&page=/tn_index_id_3681.htm











https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/enam_10mg_n20_tab_dr_reddys_laboratories_ltd.html&page=/tn_index_id_3681.htm










https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/enam_25mg_n20_tab_dr_reddys_laboratories_ltd.html&page=/tn_index_id_3681.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenam-tab-10mg-n20-0008933.html&page=/tn_index_id_3681.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enam-tab-5mg-n20-1111&page=/tn_index_id_3681.htm










https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/2622100/&page=/tn_index_id_3681.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enam-tab-20mg-n20-1839&page=/tn_index_id_3681.htm








https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenam-tab-5mg-n20-0007464.html&page=/tn_index_id_3681.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/2622200/&page=/tn_index_id_3681.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenam-tab-20mg-n20-0005269.html&page=/tn_index_id_3681.htm













https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enam-36589/&page=/tn_index_id_3681.htm






https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/2622300/&page=/tn_index_id_3681.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenam-tab-2-5mg-n20-0005691.html&page=/tn_index_id_3681.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/enam_20mg_n20_tab_dr_reddys_laboratories_ltd.html&page=/tn_index_id_3681.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enam-tab-2-5mg-n20-1110&page=/tn_index_id_3681.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enam-36581/&page=/tn_index_id_3681.htm



","







ТРИКА  Стромынка ул, 1, Москва  Экспресс заказ  Круглосуточно
















Авиценна Фарма  Первомайская Нижн. ул, 46, Москва  Экспресс заказ  Круглосуточно







































































20 капель  Армавирская ул, 3, Москва  Экспресс заказ  09:00-21:00 Пн-Сб, 09:00-18:00 Вс














36,6  Мичуринский Проспект, 3 к 1, Олимпийская Деревня, Москва  Экспресс заказ  10:00-22:00 Пн-Вс



","







Сокольники
















Первомайская






















































































Юго-Западная



","







32₽Забрать сегодня
















35₽Забрать сегодня







































































60₽Забрать завтра с 09:00














15₽Забрать сегодня



","['эналапр', 'enalapril']",{'гипотензивн': 0.08203128829495446},{'гипотензивн': 0.08203128829495446}
Энам® Н (Enam H),Гидрохлоротиазид + Эналаприл (Hydrochlorothiazide + Enalapril), — гипотензивное,"










","










",https://www.rlsnet.ru/tn_index_id_41561.htm,"










","










","










","










","['гидрохлоротиазид', 'эналапр', 'hydrochlorothiazide', 'enalapril']",{'гипотензивн': 0.08203128829495446},{'гипотензивн': 0.08203128829495446}
Энанорм (Enanorm),Нитрендипин + Эналаприл (Nitrendipine + Enalapril), — антигипертензивное,"
































































































































































","
































































































































































",https://www.rlsnet.ru/tn_index_id_49497.htm,"










































































https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enanorm-244078/&page=/tn_index_id_49497.htm







































https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/3426711/&page=/tn_index_id_49497.htm













































","










































































Горздрав  Советская ул, 43, Егорьевск, МО  Экспресс заказ  08:00-21:00 Пн-Пт, 09:00-21:00 Сб-Вс





















































































","
































































































































































","










































































447₽Забрать сегодня





















































































","['нитрендипин', 'эналапр', 'nitrendipine', 'enalapril']",{'антигипертензивн': 1.5491969672906811},{'антигипертензивн': 1.5491969672906811}
Энап® (Enap®),Эналаприл* (Enalapril*), — гипотензивное,"


Берлиприл® 5





















Эднит®



Энам®








Берлиприл® 10
















Эналаприл-Аджио











Эналаприла малеат





































































Ренитек®






Эналаприл-ФПО®
Эналаприл форте

Берлиприл® 20




Энафарм
































































Рениприл®

Эналаприл






Эналаприл-УБФ






Эналаприл Канон





















Эналаприл ГЕКСАЛ
































","































Эналаприл форте




































Эналаприл ГЕКСАЛ



Эналаприл
















Энам®
Энафарм








Эналаприл Канон


Берлиприл® 5








Эналаприл-УБФ





Эналаприла малеат






Берлиприл® 10






























































































Эднит®













Эналаприл-Аджио
















Рениприл®






Берлиприл® 20




Ренитек®















Эналаприл-ФПО®








",https://www.rlsnet.ru/tn_index_id_3682.htm,"









https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/3527311/&page=/tn_index_id_3682.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenap-tab-20mg-n20-0011496.html&page=/tn_index_id_3682.htm








https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/9221&page=/tn_index_id_3682.htm











https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/2576900/&page=/tn_index_id_3682.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/215736&page=/tn_index_id_3682.htm


















https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-36638/&page=/tn_index_id_3682.htm
























https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenap-tab-5mg-n20-0018910.html&page=/tn_index_id_3682.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-36649/&page=/tn_index_id_3682.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/63233&page=/tn_index_id_3682.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-36667/&page=/tn_index_id_3682.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enap-tab-10mg-n20-48&page=/tn_index_id_3682.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/3542811/&page=/tn_index_id_3682.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/121538&page=/tn_index_id_3682.htm








https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enap-tab-20mg-n60-9645&page=/tn_index_id_3682.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-36664/&page=/tn_index_id_3682.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-36697/&page=/tn_index_id_3682.htm



























https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-36611/&page=/tn_index_id_3682.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-36666/&page=/tn_index_id_3682.htm






https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-36709/&page=/tn_index_id_3682.htm








https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-36623/&page=/tn_index_id_3682.htm






















https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/5131407/&page=/tn_index_id_3682.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/3527211/&page=/tn_index_id_3682.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/44599/&page=/tn_index_id_3682.htm










https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/2622000/&page=/tn_index_id_3682.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenap-tab-20mg-n60-0013674.html&page=/tn_index_id_3682.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/68417&page=/tn_index_id_3682.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenap-tab-10mg-n20-0008903.html&page=/tn_index_id_3682.htm















https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/2576700/&page=/tn_index_id_3682.htm













https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enap-tab-5mg-n20-632&page=/tn_index_id_3682.htm
















https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enap-tab-20mg-n20-631&page=/tn_index_id_3682.htm

















https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenap-tab-5mg-n60-0013675.html&page=/tn_index_id_3682.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-36672/&page=/tn_index_id_3682.htm








https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/216163&page=/tn_index_id_3682.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/enap_25mg_n20_tab_krka_dd_novo_mesto.html&page=/tn_index_id_3682.htm





https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enap-tab-5mg-n60-9646&page=/tn_index_id_3682.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/216164&page=/tn_index_id_3682.htm




","




















































Аптечество  ДЗФС мкр, 43, Дмитров, МО  Экспресс заказ  09:00-21:00 Пн-Вс

























Диалог  ул Дзержинского, 23/2, Королев, МО  Экспресс заказ  8:00-22:00 Пн-Пт, 9:00-21:00 Сб-Вс


Ригла  Ленина ул, 9, Лобня, МО  Экспресс заказ  08:00-23:00 Пн-Пт, 09:00-22:00 Сб-Вс















Авиценна Фарма  Вокзальная ул, 21, Красногорск, МО  Экспресс заказ  Круглосуточно


Диалог  Ялагина ул, д5, Электросталь, МО  Экспресс заказ  09:00-21:00 Пн-Вс



























Росаптека  Жулебинский б-р, 9, Москва  Экспресс заказ  09:00-22:00 Пн,Ср,Чт,Пт,Сб,Вс, 00:09-22:00 Вт


Живика  Ленина ул, 23 к 3, Лобня, МО  Экспресс заказ  08:00-22:00 Пн-Пт, 09:00-21:00 Сб-Вс






Диалог  Пушкинская ул, 17А, мкрн Болшево, Королев, МО  Экспресс заказ  9:00-21:00 Пн-Вс








АСНА  Флотская ул, 76, Москва  Экспресс заказ  08:00-21:00 Пн-Пт, 09:00-21:00 Сб-Вс

















































































































Диалог  Кирова ул, 1, Подлипки мкр, Королев, МО  Экспресс заказ  09:00-21:00 Пн-Вс

























","
































































































































Лермонтовский проспект






























































































































































","




















































53₽Забрать сегодня

























155₽Забрать сегодня


2166₽Забрать сегодня















85₽Забрать сегодня


70₽Забрать сегодня



























62₽Забрать сегодня


3908₽Забрать сегодня






191₽Забрать сегодня








242₽Забрать сегодня

















































































































358₽Забрать сегодня

























","['эналапр', 'enalapril']",{'гипотензивн': 0.08203128829495446},{'гипотензивн': 0.08203128829495446}
Энап® Р (Enap® R),Эналаприлат* (Enalaprilat*), — гипотензивное,"



























","



























",https://www.rlsnet.ru/tn_index_id_28868.htm,"





https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenap-r-r-r-v-v-1-25mg-ml-1ml-n5-0006922.html&page=/tn_index_id_28868.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-r-177667/&page=/tn_index_id_28868.htm





https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enap-r-r-r-vv-1-25mgml-1ml-n5-630&page=/tn_index_id_28868.htm












","








120/80  Новогиреевская ул, 4к1, Москва  Аптека.ру  08:00-21:00 Пн-Пт, 09:00-21:00 Сб-Вс


















","








Перово


















","








520₽Забрать 7 мая


















","['эналаприлат', 'enalaprilat']",{'гипотензивн': 0.08203128829495446},{'гипотензивн': 0.08203128829495446}
Энап®-HЛ (Enap®-HL),Гидрохлоротиазид + Эналаприл (Hydrochlorothiazide + Enalapril)," — диуретическое, гипотензивное","
Берлиприл® плюс
Рениприл® ГТ

Эналаприл НЛ 20







Эналаприла малеат НЛ




Ко-ренитек®


Эналаприл/Гидрохлоротиазид-Тева







Энап®-Н



Энап®-HЛ 20






Энафарм®-Н
























Эналаприла малеат Н

Эналаприл Н






Гидрохлоротиазид+Эналаприл




Эналаприл НЛ

","




Энап®-HЛ 20


Эналаприла малеат Н




Энап®-Н

Эналаприла малеат НЛ


Эналаприл/Гидрохлоротиазид-Тева


















Энафарм®-Н



Эналаприл НЛ









Берлиприл® плюс



Рениприл® ГТ




Эналаприл НЛ 20









Эналаприл Н



Гидрохлоротиазид+Эналаприл


Ко-ренитек®


",https://www.rlsnet.ru/tn_index_id_3683.htm,"









https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/enap-hl_125mg10mg_n20_tab_krka_dd_novo_mesto.html&page=/tn_index_id_3683.htm















https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/6765911/&page=/tn_index_id_3683.htm









https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/2577100/&page=/tn_index_id_3683.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-hl-36729/&page=/tn_index_id_3683.htm




https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/17979603/&page=/tn_index_id_3683.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/6752111/&page=/tn_index_id_3683.htm






https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenap-hl-tab-10mg-12-5mg-n20-0007508.html&page=/tn_index_id_3683.htm















https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enap-hl-tab-10mg12-5mg-n20-633&page=/tn_index_id_3683.htm





https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-hl-36732/&page=/tn_index_id_3683.htm




","





































Диалог  Ялагина ул, д5, Электросталь, МО  Экспресс заказ  09:00-21:00 Пн-Вс




































120/80  Новогиреевская ул, 4к1, Москва  Аптека.ру  08:00-21:00 Пн-Пт, 09:00-21:00 Сб-Вс




","










































































Перово




","





































165₽Забрать сегодня




































485₽Забрать 7 мая




","['гидрохлоротиазид', 'эналапр', 'hydrochlorothiazide', 'enalapril']","{'диуретическ': 0.3943309570226593, 'гипотензивн': 0.08203128829495446}","{'диуретическ': 0.3943309570226593, 'гипотензивн': 0.08203128829495446}"
Энап®-HЛ 20 (Enap®-HL 20),Гидрохлоротиазид + Эналаприл (Hydrochlorothiazide + Enalapril)," — диуретическое, гипотензивное","








Энафарм®-Н

Эналаприл/Гидрохлоротиазид-Тева















Энап®-Н



Эналаприла малеат НЛ






Рениприл® ГТ

Гидрохлоротиазид+Эналаприл




Энап®-HЛ
Берлиприл® плюс



Ко-ренитек®
Эналаприл НЛ 20





Эналаприла малеат Н
Эналаприл Н

Эналаприл НЛ
","




Рениприл® ГТ
Эналаприл/Гидрохлоротиазид-Тева







Эналаприла малеат Н
Энап®-Н






Энафарм®-Н

Эналаприл Н
Эналаприл НЛ




Гидрохлоротиазид+Эналаприл








Берлиприл® плюс


Ко-ренитек®
Энап®-HЛ





Эналаприл НЛ 20






Эналаприла малеат НЛ




",https://www.rlsnet.ru/tn_index_id_34301.htm,"






https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-hl-20-195759/&page=/tn_index_id_34301.htm




https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enap-hl-20-tab-20mg12-5mg-n20-3244&page=/tn_index_id_34301.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jenap-hl-20-tab-20mg-12-5mg-n20-0008806.html&page=/tn_index_id_34301.htm




















https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-hl-20-195761/&page=/tn_index_id_34301.htm























","






Фармат  Хлебозаводская ул, 12к1, Ивантеевка, МО  Экспресс заказ  09:00-21:00 Пн-Вс





























Биолайф  Строительная ул, 5, Заветы Ильича мкр, Пушкинский р-н, Пушкино, МО  Экспресс заказ  09:00-21:00 Пн-Вс























","




























































","






170₽Забрать сегодня





























494₽Забрать сегодня























","['гидрохлоротиазид', 'эналапр', 'hydrochlorothiazide', 'enalapril']","{'диуретическ': 0.3943309570226593, 'гипотензивн': 0.08203128829495446}","{'диуретическ': 0.3943309570226593, 'гипотензивн': 0.08203128829495446}"
Энап®-Н (Enap®-H),Гидрохлоротиазид + Эналаприл (Hydrochlorothiazide + Enalapril)," — диуретическое, гипотензивное","
























Эналаприл/Гидрохлоротиазид-Тева





Ко-ренитек®




Берлиприл® плюс
Эналаприла малеат НЛ

Эналаприла малеат Н



Гидрохлоротиазид+Эналаприл


Эналаприл НЛ 20
Энафарм®-Н


Энап®-HЛ 20
Эналаприл Н




Энап®-HЛ

Рениприл® ГТ
Эналаприл НЛ















","








Гидрохлоротиазид+Эналаприл


Энафарм®-Н
Энап®-HЛ 20







Берлиприл® плюс
Эналаприл НЛ 20





Эналаприла малеат НЛ
Энап®-HЛ




Рениприл® ГТ









Эналаприл НЛ



Эналаприл/Гидрохлоротиазид-Тева
















Эналаприла малеат Н



Ко-ренитек®




Эналаприл Н
",https://www.rlsnet.ru/tn_index_id_3684.htm,"





























https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/enap-h-tab-25mg10mg-20-7845&page=/tn_index_id_3684.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-n-36766/&page=/tn_index_id_3684.htm





























https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/36933&page=/tn_index_id_3684.htm








https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/enap-n-36762/&page=/tn_index_id_3684.htm


","
































Диалог  ул Дзержинского, 23/2, Королев, МО  Экспресс заказ  8:00-22:00 Пн-Пт, 9:00-21:00 Сб-Вс






































ПроАптека. Асаки  Юных Ленинцев ул, 12, Москва  Экспресс заказ  Круглосуточно


","







































































Текстильщики


","
































527₽Забрать сегодня






































209₽Забрать сегодня


","['гидрохлоротиазид', 'эналапр', 'hydrochlorothiazide', 'enalapril']","{'диуретическ': 0.3943309570226593, 'гипотензивн': 0.08203128829495446}","{'диуретическ': 0.3943309570226593, 'гипотензивн': 0.08203128829495446}"
Энаренал® (Enarenal®),Эналаприл* (Enalapril*), — гипотензивное,"




































","




































",https://www.rlsnet.ru/tn_index_id_14552.htm,"




































","




































","




































","




































","['эналапр', 'enalapril']",{'гипотензивн': 0.08203128829495446},{'гипотензивн': 0.08203128829495446}
Энвас (Envas),Эналаприл* (Enalapril*), — гипотензивное,"

























","

























",https://www.rlsnet.ru/tn_index_id_3688.htm,"

























","

























","

























","

























","['эналапр', 'enalapril']",{'гипотензивн': 0.08203128829495446},{'гипотензивн': 0.08203128829495446}
Энгистол® (Engystol®),null, — гомеопатическое,"





















","





















",https://www.rlsnet.ru/tn_index_id_7221.htm,"

https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/engistol-tab-sublingv-n50-796&page=/tn_index_id_7221.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/engistol_n50_tab_biologische_heilmittel_heel_gmbh.html&page=/tn_index_id_7221.htm









https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/engistol-96705/&page=/tn_index_id_7221.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jengistol-tab-sublingv-n50-0010887.html&page=/tn_index_id_7221.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/789299/&page=/tn_index_id_7221.htm","















Мицар  Шибанкова ул, 71, Наро-Фоминск, МО  Экспресс заказ  10:00-20:00 Пн-Вс





","





















","















424₽Забрать сегодня





",['null'],{'гомеопатическ': 0.6590739535520163},{'гомеопатическ': 0.6590739535520163}
Энджерикс В® (Engerix B™),Вакцина для профилактики вирусного гепатита В (Vaccine hepatitis B), — иммуностимулирующее,"


















































































","


















































































",https://www.rlsnet.ru/tn_index_id_3810.htm,"


















































































","


















































































","


















































































","


















































































","['вакцин', 'для', 'профилактик', 'вирусн', 'гепат', 'в', 'vaccine', 'hepatitis', 'b']",{'иммуностимулир': 0.2717747117293461},{'иммуностимулир': 0.2717747117293461}
Эндобулин (Endobulin®),Иммуноглобулин человека нормальный (Immunoglobulin human normal), — иммуностимулирующее,"

















","

















",https://www.rlsnet.ru/tn_index_id_3689.htm,"

















","

















","

















","

















","['иммуноглобулин', 'человек', 'нормальн', 'immunoglobulin', 'human', 'normal']",{'иммуностимулир': 0.2717747117293461},{'иммуностимулир': 0.2717747117293461}
